ID,cat_target
0,0
1,1
2,2
3,1
4,0
5,1
6,2
7,1
8,1
9,1
10,2
11,1
12,1
13,0
14,2
15,1
16,0
17,2
18,0
19,1
20,0
21,0
22,2
23,1
24,2
25,0
26,2
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,2
36,1
37,2
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,2
52,0
53,1
54,1
55,2
56,2
57,2
58,2
59,2
60,1
61,1
62,1
63,0
64,0
65,2
66,1
67,2
68,2
69,2
70,2
71,0
72,2
73,0
74,2
75,1
76,0
77,2
78,2
79,1
80,2
81,2
82,0
83,1
84,0
85,2
86,2
87,1
88,1
89,1
90,0
91,1
92,2
93,2
94,2
95,0
96,2
97,2
98,0
99,0
100,0
101,0
102,0
103,1
104,2
105,2
106,0
107,2
108,2
109,0
110,1
111,2
112,1
113,1
114,2
115,1
116,2
117,1
118,0
119,2
120,0
121,2
122,2
123,1
124,2
125,1
126,1
127,1
128,2
129,2
130,1
131,0
132,1
133,1
134,0
135,2
136,2
137,1
138,2
139,0
140,2
141,0
142,0
143,0
144,0
145,1
146,2
147,1
148,0
149,0
150,1
151,1
152,2
153,2
154,2
155,0
156,0
157,1
158,1
159,2
160,2
161,1
162,2
163,2
164,1
165,0
166,0
167,2
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,2
185,2
186,1
187,1
188,1
189,1
190,2
191,2
192,0
193,2
194,2
195,0
196,1
197,0
198,2
199,0
200,1
201,2
202,2
203,1
204,0
205,1
206,0
207,2
208,0
209,0
210,1
211,1
212,1
213,2
214,2
215,0
216,1
217,2
218,0
219,1
220,2
221,1
222,2
223,2
224,1
225,1
226,2
227,2
228,1
229,0
230,0
231,2
232,0
233,1
234,2
235,0
236,0
237,1
238,2
239,1
240,2
241,2
242,2
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,2
261,0
262,1
263,1
264,1
265,2
266,1
267,1
268,0
269,2
270,0
271,1
272,0
273,0
274,0
275,0
276,2
277,2
278,2
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,1
288,2
289,1
290,2
291,1
292,1
293,0
294,2
295,1
296,1
297,2
298,1
299,0
300,1
301,0
302,2
303,0
304,0
305,2
306,2
307,0
308,2
309,2
310,2
311,2
312,0
313,1
314,1
315,1
316,2
317,1
318,0
319,2
320,0
321,0
322,2
323,1
324,2
325,0
326,1
327,1
328,0
329,2
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,0
338,0
339,2
340,2
341,2
342,1
343,0
344,1
345,2
346,2
347,1
348,0
349,1
350,1
351,2
352,1
353,2
354,0
355,2
356,0
357,0
358,0
359,2
360,1
361,0
362,2
363,2
364,0
365,1
366,1
367,1
368,2
369,2
370,1
371,1
372,0
373,0
374,1
375,2
376,0
377,0
378,2
379,2
380,2
381,1
382,0
383,1
384,1
385,1
386,2
387,2
388,2
389,0
390,1
391,2
392,2
393,2
394,2
395,0
396,2
397,2
398,0
399,0
400,2
401,1
402,0
403,2
404,0
405,2
406,2
407,2
408,0
409,1
410,0
411,0
412,2
413,2
414,0
415,0
416,0
417,0
418,2
419,2
420,1
421,0
422,2
423,2
424,1
425,0
426,2
427,1
428,0
429,2
430,1
431,1
432,0
433,0
434,0
435,1
436,0
437,2
438,1
439,0
440,2
441,2
442,1
443,2
444,1
445,1
446,1
447,1
448,2
449,0
450,2
451,1
452,1
453,0
454,2
455,2
456,2
457,0
458,1
459,2
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,2
469,1
470,0
471,0
472,0
473,2
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,0
486,1
487,2
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,2
496,0
497,2
498,1
499,0
500,2
501,2
502,1
503,0
504,0
505,1
506,1
507,2
508,0
509,0
510,1
511,2
512,2
513,1
514,1
515,0
516,1
517,1
518,0
519,2
520,2
521,2
522,1
523,0
524,1
525,0
526,0
527,2
528,1
529,2
530,2
531,1
532,2
533,0
534,2
535,2
536,0
537,1
538,0
539,2
540,2
541,0
542,0
543,0
544,0
545,0
546,2
547,0
548,2
549,2
550,2
551,1
552,1
553,1
554,2
555,1
556,2
557,0
558,1
559,2
560,1
561,1
562,2
563,1
564,1
565,0
566,2
567,0
568,0
569,0
570,0
571,1
572,2
573,0
574,1
575,1
576,2
577,2
578,2
579,2
580,0
581,2
582,2
583,0
584,0
585,2
586,0
587,1
588,2
589,2
590,0
591,2
592,1
593,0
594,2
595,2
596,2
597,2
598,0
599,2
600,1
601,2
602,2
603,1
604,1
605,2
606,1
607,2
608,0
609,1
610,1
611,1
612,1
613,0
614,2
615,1
616,1
617,0
618,2
619,1
620,1
621,2
622,2
623,0
624,1
625,0
626,1
627,2
628,2
629,1
630,2
631,2
632,0
633,2
634,1
635,1
636,1
637,0
638,0
639,1
640,1
641,1
642,1
643,0
644,1
645,0
646,2
647,2
648,2
649,1
650,0
651,0
652,0
653,0
654,1
655,2
656,1
657,1
658,0
659,0
660,1
661,0
662,1
663,2
664,1
665,2
666,2
667,0
668,0
669,1
670,1
671,1
672,1
673,2
674,2
675,0
676,2
677,0
678,1
679,2
680,0
681,2
682,0
683,1
684,1
685,2
686,1
687,0
688,1
689,1
690,2
691,0
692,0
693,2
694,0
695,1
696,0
697,0
698,1
699,0
700,2
701,2
702,2
703,2
704,2
705,2
706,0
707,1
708,0
709,0
710,0
711,2
712,2
713,1
714,0
715,2
716,0
717,1
718,2
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,2
727,1
728,1
729,2
730,0
731,2
732,1
733,1
734,2
735,0
736,2
737,1
738,0
739,1
740,2
741,0
742,1
743,2
744,1
745,2
746,2
747,1
748,1
749,2
750,1
751,0
752,0
753,2
754,2
755,1
756,0
757,1
758,0
759,1
760,2
761,1
762,0
763,1
764,1
765,0
766,0
767,0
768,1
769,2
770,1
771,0
772,0
773,1
774,1
775,0
776,0
777,1
778,0
779,2
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,0
788,0
789,2
790,0
791,1
792,1
793,1
794,0
795,2
796,1
797,0
798,2
799,0
800,0
801,1
802,0
803,0
804,2
805,1
806,1
807,0
808,0
809,0
810,2
811,2
812,0
813,2
814,2
815,0
816,0
817,0
818,1
819,0
820,0
821,1
822,2
823,2
824,2
825,1
826,1
827,2
828,1
829,0
830,0
831,0
832,0
833,1
834,2
835,1
836,2
837,2
838,2
839,0
840,0
841,2
842,2
843,1
844,1
845,1
846,0
847,0
848,1
849,1
850,2
851,1
852,0
853,2
854,1
855,0
856,0
857,2
858,2
859,1
860,2
861,1
862,2
863,2
864,2
865,0
866,1
867,0
868,1
869,1
870,0
871,0
872,0
873,2
874,2
875,0
876,1
877,1
878,1
879,0
880,1
881,1
882,1
883,2
884,0
885,0
886,1
887,1
888,0
889,2
890,2
891,0
892,2
893,2
894,2
895,1
896,0
897,2
898,1
899,0
900,1
901,1
902,2
903,1
904,2
905,0
906,2
907,0
908,2
909,1
910,1
911,1
912,1
913,1
914,2
915,1
916,0
917,1
918,1
919,2
920,2
921,2
922,2
923,2
924,1
925,2
926,2
927,2
928,0
929,2
930,1
931,0
932,0
933,2
934,1
935,1
936,0
937,2
938,1
939,0
940,1
941,1
942,1
943,0
944,2
945,0
946,0
947,1
948,2
949,0
950,2
951,0
952,2
953,0
954,1
955,0
956,0
957,2
958,1
959,2
960,2
961,1
962,2
963,1
964,2
965,2
966,2
967,0
968,2
969,0
970,1
971,2
972,0
973,0
974,0
975,1
976,1
977,0
978,1
979,1
980,0
981,2
982,2
983,2
984,2
985,1
986,2
987,1
988,0
989,2
990,0
991,1
992,2
993,1
994,0
995,1
996,0
997,1
998,1
999,2
